Producer;Title;Year;Picname;Critic;Critic_S;Score;Rating
Duckhorn;Duckhorn Vineyards Cabernet Sauvignon;2017;Duckhorn Vineyards Cabernet Sauvignon 2017.jpg;Wine Spectator;WS;90;"Wine Spectator 90 * Outstanding; a wine of superior character and style.Ripe, rounded and generally open in feel, with friendly plum, raspberry and cherry notes woven together with light floral and red licorice notes. Polished finish.-WS"
Duckhorn;Duckhorn Vineyards Cabernet Sauvignon;2017;Duckhorn Vineyards Cabernet Sauvignon 2017.jpg;Wine Enthusiast;WE;90;Wine Enthusiast 90 * Highly recommended.-WE
Duckhorn;Duckhorn Vineyards Cabernet Sauvignon;2017;Duckhorn Vineyards Cabernet Sauvignon 2017.jpg;Wilfred Wong;WW;92;Wilfred Wong 92 * COMMENTARY: The 2017 Duckhorn Vineyards Cabernet Sauvignon deftly defines what a Napa Valley red is all about, and this is a great thing. TASTING NOTES: This wine displays aromas and flavors of warm berries, savory spices, and oak front and center. Enjoy it with prime rib, and ask for a rare cut. (Tasted: July 19, 2020, San Francisco, CA)-WW
Groth;Groth Cabernet Sauvignon;2016;Groth Cabernet Sauvignon 2016.jpg;Wine & Spirits;WAS;94;"Wine & Spirits 94 * ""Cameron Parry found his cabernet vines ripened their fruit in 2016 at Brix levels that were lower than usual, sustaining acidity in the grapes. They produced a young and luscious Oakville cabernet, the wine integrating oak and fruit tannins in a way that supercharges its flavors. Rather than weighing the wine down, the structure empowers it, presenting plummy blue fruit, scents of cassis and fruity-umami notes of mushrooms that last, gracious, gentle and refined."""
Groth;Groth Cabernet Sauvignon;2016;Groth Cabernet Sauvignon 2016.jpg;Wine Enthusiast;WE;93;"Wine Enthusiast 93 * ""Blended with 9 Merlot and 1 Petit Verdot, this Cabernet opens with earthy aromas of tar, sage and cedar. It expands on the palate to show an elegant structure of finessed, supple tannins alongside layers of clove and cinnamon atop ripe red and black berries"""
Groth;Groth Cabernet Sauvignon;2016;Groth Cabernet Sauvignon 2016.jpg;Wine Spectator;WS;92;"Wine Spectator 92 * ""A hint of singed savory leads off, turning quickly to a core of raspberry and mulberry fruit, lined with alluring tea, sanguine and iron notes. Offers fine-grained grip and should unwind nicely in the cellar. Drink now through 2030. Tasted twice, with consistent notes."""
Quintessa;Faust by Quintessa Cabernet Sauvignon;2017;Faust by Quintessa Cabernet Sauvignon 2017.jpg;James Suckling;JS;92;"James Suckling 92 * ""Lovely softness and balance to this wine. Aromas and flavors of currants and blueberries. Medium- to full-bodied. Refined and beautiful now. Drink and enjoy.""-JS"
Penfolds;Penfolds Bin 407 Cabernet Sauvignon;2018;Penfolds Bin 407 Cabernet Sauvignon 2018.jpg;Decanter;D;96;Decanter 96 * The complete Cabernet chorus sings its way out of the glass fruit, leaf and flower, all in perfect harmony. Rich from the outset, it draws together a full body with grace and elegance, while fine tannins sustain the velvet plushness that rolls through. Youre left with complex aftertaste that provides exactly what the nose suggests. The circle is complete. An inspiring wine. Drinking Window 2020 - 2040
Penfolds;Penfolds Bin 407 Cabernet Sauvignon;2018;Penfolds Bin 407 Cabernet Sauvignon 2018.jpg;James Suckling;JS;94;James Suckling 94 * A very confident expression of cabernet sauvignon, this has a briary, red-toned core of fruit with redcurrant, raspberry and blackcurrant aromas, as well as a cedary-oak thread and some pomegranate notes. The palate has a very sleek, long and juicy feel with elegant tannins carrying fully ripe red-plum and dark-cherry flavors. A great 407. Will age well for 15-plus years. Drink or hold
Penfolds;Penfolds Bin 407 Cabernet Sauvignon;2018;Penfolds Bin 407 Cabernet Sauvignon 2018.jpg;Wine Advocate;WA;92;Wine Advocate 92 * The 2018 Bin 407 Cabernet Sauvignon is a blend of fruit from Coonawarra, Padthaway, Wrattonbully, McLaren Vale, Barossa Valley and Robe. Classically built, it begins with scents of mint, cigar box and cassis, later adding nuances of olive and chocolate. It's medium to full-bodied, with a smooth, silky yet unyielding feel on the palate, and it ends in a wash of dusty tannins. While approachable now, cellaring 2-3 years should result in greater harmony, and this admirably concentrated wine appears capable of aging well for more than a decade
Penfolds;Penfolds Bin 407 Cabernet Sauvignon;2018;Penfolds Bin 407 Cabernet Sauvignon 2018.jpg;Wilfred Wong;WW;92;Wilfred Wong 92 * The 2018 Penfolds Bin 407 Cabernet Sauvignon shows impressive density on the palate, and it finishes long and smoothly. TASTING NOTES: This wine delivers excellent aromas and flavors of black fruit, earth, and dustiness. Pair it with slowly-braised meat dishes. (Tasted: August 29, 2020, San Francisco, CA)
Courtney Benham;Courtney Benham Cabernet Sauvignon;2018;Courtney Benham Cabernet Sauvignon 2018.jpg;James Suckling;JS;93;"James Suckling 93 *  ""Lots of blackberries and wet earth with mahogany and spice. Full-bodied, tight and composed with long, silky tannins. Shows length and depth...already beautiful."""
Duckhorn;Duckhorn Vineyards Merlot;2017;Duckhorn Vineyards Merlot 2017.jpg;James Suckling;JS;92;"James Suckling 92 * ""A nicely crafted 2017 red with berries, plums and hints of dark chocolate on the nose and palate. Medium body, creamy tannins and a savory finish. Pretty fruit at the end. Drink or hold.""-JS"
Heitz Cellar;Heitz Cellars Napa Cabernet Sauvignon;2015;Heitz Cellars Napa Cabernet Sauvignon 2015.jpg;Wine Enthusiast;WE;95;Wine Enthusiast 95 * Woody, herbal and elegantly structured, this wine is high-toned and freshly layered in bold red fruit. Given time in the barrel and the bottle, it shows its graceful edges and nuanced elegance with ease, finishing in dusty crushed rock. It vastly overdelivers on its price point.
Heitz Cellar;Heitz Cellars Napa Cabernet Sauvignon;2015;Heitz Cellars Napa Cabernet Sauvignon 2015.jpg;Decanter;D;94;Decanter 94 * Heitz Cellars' Napa Cabernet is always one of the region's best-value buys, thanks in part to the winery's dedication to a pre-release ageing regimen. It spends eight months in neutral tank, two years in 50 new French oak, and then 18 months in bottle before release. Notes of aged leather, toffee and brick dust on a refined and velvety-textured palate. An honest Napa Cab.
Avignonesi;Avignonesi Cantaloro Toscana Rosso;2017;Avignonesi Cantaloro Toscana Rosso 2017.jpg;James Suckling;JS;92;"James Suckling 92 * ""A solid red with currant, chocolate and berry character. Full body, round and chewy tannins and a slightly austere finish. Needs time to soften. From organically grown grapes. Better after 2022."""
Donna Laura;Donna Laura Ali Sangiovese-Cabernet;2019;Donna Laura Ali Sangiovese-Cabernet 2019.jpg;James Suckling;JS;88;James Suckling 88 * Plum and berry character with some orange-peel undertones. Medium body. Easy finish. Drink now
Sequoia Grove;Sequoia Grove Cabernet Sauvignon;2017;Sequoia Grove Cabernet Sauvignon 2017.jpg;James Suckling;JS;92;"James Suckling 92 * ""A juicy, flavorful red with blackberry, chocolate and hazelnut character. Some coffee undertones. Full body and firm, silky tannins with a chewy edge. Flavorful finish. Drinkable now, but better with some age. Try in 2022."""
Sequoia Grove;Sequoia Grove Cabernet Sauvignon;2017;Sequoia Grove Cabernet Sauvignon 2017.jpg;Wine Spectator;WS;90;"Wine Spectator 90 * ""Deep ruby in color with intense aromas and flavors of blackberry, red and black cherries and currants interwoven with sweet spice, floral and mineral notes. The palate has a big, round, silky arc with smooth tannins, impeccable balance, and a long, flavorful finish."""
Greysac;Chateau Greysac Medoc;2015;Chateau Greysac Medoc 2015.jpg;Wine Advocate;WA;91;Wine Advocate 91 * Tasted at the Cru Bourgeois annual tasting, the 2015 Greysac has a perfumed bouquet with plenty of tobacco-infused black fruit, just a touch of warm gravel emerging with time. The palate is medium-bodied with fine tannin, crisp in the mouth with a very precise finish that deserves a round of applause. This comes highly recommended. Tasted September 2017. - Neal Martin
Paolo Scavino;Paolo Scavino Bric Del Fiasc Barolo;2016;Paolo Scavino Bric Del Fiasc Barolo 2016.jpg;Wine Advocate;WA;98;"Wine Advocate 98 * ""Drawing its fruit from Castiglione Falletto, the Paolo Scavino 2016 Barolo Bric dl Fiasc shows dimension, depth, precision and power. The wine opens to a dark garnet color with a saturated hue, leading to a full, all-encompassing bouquet. The Barolo Bric dl Fiasc is often the most representative wine in the Scavino portfolio, and never has this been more true than in this classic vintage. Dark fruit, licorice, spice and ferrous earth build a fluid and multifaceted bouquet. The mouthfeel sits firm and tight on the palate today, promising to evolve and soften tomorrow. This is a bottle for your cellar."""
Paolo Scavino;Paolo Scavino Bric Del Fiasc Barolo;2016;Paolo Scavino Bric Del Fiasc Barolo 2016.jpg;Wine Enthusiast;WE;98;"Wine Enthusiast 98 Cellar Selection * ""What a gorgeous showing. It opens with heady aromas of menthol, forest berry, iris and new leather while the enveloping, full-bodied palate delivers raspberry compote, ripe Marasca cherry, licorice and baking spice before a minty finish. Enveloping, fine-grained tannins and fresh acidity provide perfect balance. Thanks to the ripe, juicy fruit, you'd never guess this had an abv of 15. Drink 20232036. KERIN OKEEFE"""
Paolo Scavino;Paolo Scavino Bric Del Fiasc Barolo;2016;Paolo Scavino Bric Del Fiasc Barolo 2016.jpg;Wine Spectator;WS;96;"Wine Spectator 96 * ""This vibrant red is concentrated and supple, bursting with cherry, plum, licorice and eucalyptus aromas and flavors. Offers a sense of elegance, with a slightly chewy texture, along with excellent length. Best from 2023 through 2040. B.S."""
Stag's Leap;Stags Leap Wine Cellars Artemis Cab Sauv;2017;Stags Leap Wine Cellars Artemis Cab Sauv 2017.jpg;Wilfred Wong;WW;94;Wilfred Wong 94 * The 2017 Stag's Leap Wine Cellars Artemis exhibits its recipe for success- brand recognition and high quality. TASTING NOTES: This is the best Napa Valley category in its price category. Its aroma and flavors are spot-on. Enjoy is lovely and elegant red and black fruits, hints of oak, and enchanting spices with savory, oven-baked wild game birds. (Tasted: December 16, 2019, San Francisco, CA - Wilfred Wong of Wine.com
Caymus;Caymus Vineyards Special Selection Cabernet Sauv;2016;Caymus Vineyards Special Selection Cabernet Sauv 2016.jpg;Wilfred Wong;WW;95;"Wilfred Wong 95 * The Caymus Vineyards Special Selection Cabernet Sauvignon is one of the world's most iconic and recognized wines. I recall being floored when I tasted the 1975 vintage, its first release. That wine was one of the memorable wines I have ever tasted. The 2016 vintage shows how well the ""Special Selection"" program has progressed. TASTING NOTES: This wine offers an outstanding synergy between fruit, earth, and oak. Its elevated and persistent palate should pair superbly with grilled ribeye topped with minced shallots and freshly-cracked black peppercorns. (Tasted: June 1, 2020, San Francisco, CA)""-WW"
Substance;Wines of Substance Cabernet Sauvignon;2018;Wines of Substance Cabernet Sauvignon 2018.jpg;James Suckling;JS;93;"James Suckling 93 * ""This has the wonderful, dark-fruit and olive character of a ripe cabernet sauvignon, but the polished tannins fold over the wine. It's full-bodied, yet agile and focused at the finish. Real wine for the money."""
Substance;Wines of Substance Cabernet Sauvignon;2018;Wines of Substance Cabernet Sauvignon 2018.jpg;Jeb Dunnuck;JD;91;"Jeb Dunnuck 91 * It makes a mockery of just about every other Cabernet Sauvignon in this price range. Buy a case and enjoy over the coming 4-6 years, probably longer."""
Bota Box;Bota Box Nighthawk Black Dark Red;0000;Bota Box Nighthawk Black Dark Red.jpg;Wine Enthusiast;WE;87;"Wine Enthusiast 87 * WE TOP 100 2016 Best Buys Rank 2 * ""Very deep color, potent aromas and a dense, but velvety texture paint a bold picture for this full-bodied wine. It has the drama and flavor recalling an expensive red, without overpowering tannins or a high price."""
Herb Lamb;Herb Lamb Cabernet Sauvignon;2016;Herb Lamb Cabernet Sauvignon 2016.jpg;Wine Advocate;WA;98;Wine Advocate 98  *   A barrel sample, the 2016 Cabernet Sauvignon Herb Lamb Vineyard sports a very deep purple-black color and exuberant nose of crushed wild blueberries, red and black cherries and black plums with touches of dried sage, garrigue, tilled soil and chargrill plus a waft of pencil lead. Medium to full-bodied, the palate is vivacious, refreshing and savory, featuring red and black fruits and framed by fine-grained tannins, finishing long and earthy. (LPB)   (12/2017)
Herb Lamb;Herb Lamb Cabernet Sauvignon;2016;Herb Lamb Cabernet Sauvignon 2016.jpg;Jeb Dunnuck;JD;99;Jeb Dunnuck 99  *   A huge array of crme de cassis, blueberries, flowers, and spicy, sandalwood-like characteristics emerge from the 2016 Cabernet Sauvignon Herb Lamb, which has more than a passing resemblance to a great vintage of Chteau Margaux. Showing more tobacco and herbal characteristics with time in the glass, this full-bodied, multi-dimensional, seamless 2016 has everything you could want from a Napa Valley Cabernet Sauvignon. Enjoy it over the coming 20-25+ years.   (1/2019)
Caprili;Caprili Brunello di Montalcino;2016;Caprili Brunello di Montalcino 2016.jpg;Wine Advocate;WA;95;"Wine Advocate 95 * ""The 2016 Brunello di Montalcino makes a great first impression thanks to the purity and intensity of the fruit. Those two things—purity and intensity—can sometimes be uncomfortable bedfellows, but this expression from Caprili unites them in happy marriage. The bouquet opens to bright red fruit, cola, chopped mint and blue flower. There is a lot of beautiful energy on hand. The wine is smooth and silky, giving it both near and long-term appeal."""
Caprili;Caprili Brunello di Montalcino;2016;Caprili Brunello di Montalcino 2016.jpg;Vinous;VIN;94;"Vinous Media 94 * ""An initial burst of medicinal red fruits and exotic spice evolves into a more refined expression of dusty roses, cedar and wild strawberries, as the 2016 Caprili Brunello di Montalcino unfolds in the glass. The textures are silky in feel, contrasted by an intense wave of tart berries and salty minerals, all carried across a core of zesty acids. This shows the radiance of the 2016 vintage, along with rounded tannins which add poise without ever robbing the expression of its vibrancy, culminating in a totally classic and fully satisfying finale."""
Santa Julia;Santa Julia Vineyards Malbec Reserva;2019;Santa Julia Vineyards Malbec Reserva 2019.jpg;James Suckling;JS;93;"James Suckling 93 * ""This is really succulent and flavorful, yet linear and fresh at the same time. Medium-to full-bodied, tight and focused. Compact. Fine tannins. Delicious aftertaste. Fantastic for the money. Drink or hold."""
Honig;Honig Winery Cabernet Sauvignon;2017;Honig Winery Cabernet Sauvignon 2017.jpg;Wine Advocate;WA;92;"Wine Advocate 92 *  ""Deep purple-black colored, it delivers great intensity of crushed blackberries, warm plums and black currant cordial scents with wafts of underbrush, cinnamon toast and charcoal. The palate is medium to full-bodied, firm and grainy with a good core of fruit and a savory finish."" Lisa Perotti-Brown"
Joseph Phelps;Joseph Phelps Vineyards Cabernet Sauvignon;2018;Joseph Phelps Vineyards Cabernet Sauvignon 2018.jpg;Wine Advocate;WA;92;Robert Parker's Wine Advocate 92 * The 2018 Cabernet Sauvignon is a blend of 97 Cabernet Sauvignon, 2 Cabernet Franc and 1 Malbec, coming from vineyard locations in south Napa Valley, St. Helena, Oak Knoll District and Stags Leap District. It was aged for 18 months in 40 new (51 American, 49 French) and 60 one- to two-year-old French and American oak barrels. Deep garnet-purple colored, it does pirouettes out of the glass with notes of crushed blackberries, wild blueberries and ripe blackcurrants plus hints of lilacs, menthol, forest floor and pencil shavings with a touch of wild sage. Medium-bodied, the palate is as intense as it is elegant, featuring layers of fresh black and blue fruits and gentle herbal accents, framed by firm, grainy tannins and plenty of freshness, finishing long and minerally.  Rating: 92+.-RP
E. Guigal;E. Guigal Gigondas;2016;E. Guigal Gigondas 2016.jpg;Jeb Dunnuck;JD;95;"Jeb Dunnuck 95  * ""The finest effort Ive tasted from this estates Gigondas, their 2016 is a drop-dead gorgeous wine that competes with the best in the appellation. Loads of framboise, lavender, garrigue, and hints of game emerge from this sweetly fruited, full-bodied, powerful yet elegant Gigondas. Its beautiful wine and I continue to believe that 2016 is one of the greatest vintages ever (if not the greatest) for the  * Southern Rhne. You can drink this beauty any time over the coming 15-20 years."""
E. Guigal;E. Guigal Gigondas;2016;E. Guigal Gigondas 2016.jpg;Wine Advocate;WA;92-94;"Wine Advocate (92-94) - ""The 2016 Gigondas is full-bodied, creamy and rich. It must boast considerable alcohol, as it prompted Philippe Guigal to offer, When dry extract is high enough, alcohol is not a problem. Yet I didnt detect any heat, just wonderfully ripe fruit, supple tannins and a long finish."""
Oberon;Oberon Winery Cabernet Sauvignon;2018;Oberon Winery Cabernet Sauvignon 2018.jpg;Wine Enthusiast;WE;90;Wine Enthusiast 90 * EDITORS’ CHOICE * “This wine represents tremendous value for the price and case production, mixed with a small amounts of supporting varieties. Smoky in grilled meat flavor, it has a velvety plushness to the texture and balanced tannins, the dark baked fruit adding richness.” -VIRGINIE BOONE
Zorzal;Zorzal Wine Terroir Unico Pinot Noir;2018;Zorzal Wine Terroir Unico Pinot Noir 2018.jpg;Wine Advocate;WA;92;"Wine Advocate 92 * ""The floral and perfumed 2018 Terroir nico Pinot Noir is a great expression of the grape with intense flavors, great clarity and precision and a clean, long and tasty finish. All of these wines have moderate alcohol, very good freshness and a medium body, which is like saying they are super drinkable. This 2018 has to be one of the finest vintages for this bottling. It is a great value. 72,000 bottles produced. It was bottled in September 2018 after five months in concrete."""
Willamette Valley;Willamette Valley Vineyards Whole Cluster Pinot Noir;2019;Willamette Valley Vineyards Whole Cluster Pinot Noir 2019.jpg;Wine Enthusiast;WE;91;Wine Enthusiast 91 * Editors' Choice * Tasting notes will be available October 2020. * by Wine Enthusiast, WE, 2020.
The Prisoner Wine Co.;Prisoner Wine Co. The Prisoner Red Blend;2019;Prisoner Wine Co. The Prisoner Red Blend 2019.jpg;Wilfred Wong;WW;93;"Wilfred Wong 93 * COMMENTARY: Could The Prisoner Red Blend be in the proverbial ""sweet"" spot? Since its arrival into the marketplace in 2000, this wine became an instant star, albeit controversial in some quarters of the wine world because of perceived sweetness. Many of my closest wine pals also decried that the wine was too extracted. While the wine flirts a bit beyond the standard threshold residual sugar level, this wine is pretty tasty and dry in a New World way. The 2019 vintage is the wine's best effort to date, and it signals its long journey to become a wine that everyone can wrap their palate around. TASTING NOTES: This wine brings the force of bold, black fruit, savory spices, and oak onto the palate. Pair it with grilled baby back ribs. (Tasted: October 14, 2020, San Francisco, CA)"
Paolo Scavino;Paolo Scavino Ravera Barolo;2016;Paolo Scavino Ravera Barolo 2016.jpg;Wine Advocate;WA;97+;"Wine Advocate 97+ * ""Continuing in a tour de force presentation of some of the best growing sites in Barolo, the Scavino family introduces this, their second vintage, from the Ravera cru of Novello. The Paolo Scavino 2016 Barolo Ravera draws its fruit from an east-facing parcel that is one of the last to be harvested each year. The site shows cool climate conditions even in the warmer years. In a classic vintage such as this, the wine delivers pretty balance and integration. The character of the wine reflects the dark, sultry fruit qualities that we associate with Raveraprune, plum, blackberry, tilled earth, truffle and an appetite-arousing touch of smoked bacon. That compilation of aromas is simply fantastic, and the wine shows a terrific quality of tannins, imparting inner tension, sharpness and precision."""
Paolo Scavino;Paolo Scavino Ravera Barolo;2016;Paolo Scavino Ravera Barolo 2016.jpg;Vinous;VIN;97;"Vinous Media 97 * ""Scavinos 2016 Barolo Ravera is another highlight in this range. Tense, brilliant and finely sculpted, the 2016 has so much going on. Crushed flowers, iron, mint and cedar add beguiling aromatic breadth to a core of translucent, intense Nebbiolo fruit. The 2016 really captures the energy that makes wines from this site so distinctive. The 2016 was fermented in stainless steel and aged entirely in cask. -- Antonio Galloni"""
Paolo Scavino;Paolo Scavino Ravera Barolo;2016;Paolo Scavino Ravera Barolo 2016.jpg;Wine Enthusiast;WE;94;"Wine Enthusiast 94 * ""Aromas of menthol, small red berry and espresso mingle with fragrant purple flowers on this full-bodied red. Elegantly structured, the palate offers Marasca cherry, spiced cranberry, star anise and crushed mint set against firm, fine-grained tannins. Give it time to fully develop. Drink 20242031."""
Paolo Scavino;Paolo Scavino Ravera Barolo;2016;Paolo Scavino Ravera Barolo 2016.jpg;Wine Spectator;WS;00;The Estate * Enrico Scavino and his two daughters, Enrica and Elisa, continue to produce outstanding Barolos year in and year out.  Wine Spectator
Paolo Scavino;Paolo Scavino Ravera Barolo;2016;Paolo Scavino Ravera Barolo 2016.jpg;Wine Advocate;WA;00;The Scavino family (Enrico and his daughters Enrica and Elisa) carry forth an important family legacy with a wide range of cru-specific wines that brilliantly exhibit individual styles.  Wine Advocate
Tenuta dell Ornellaia;Ornellaia Le Volte IGT Toscana;2018;Ornellaia Le Volte IGT Toscana 2018.jpg;James Suckling;JS;93;"James Suckling 93 * ""Theres purity of fruit here with crushed plums, flowers, fresh sage and rosemary on both the nose and palate. Its full-bodied, yet soft and pretty at the finish. Very drinkable now."" ~JS"
Tenuta dell Ornellaia;Ornellaia Le Volte IGT Toscana;2018;Ornellaia Le Volte IGT Toscana 2018.jpg;Wine Advocate;WA;89;Wine Advocate 89 * The Ornellaia 2018 Le Volte dell'Ornellaia is mostly Merlot, but the rest of the blend is filled out with Sangiovese and Cabernet Sauvignon. Indeed, dedicating a portion of fruit to an entry-level wine such as this (with an annual production of some 750,000 bottles) ensures lower yields and high quality for other wines in the estate portfolio. The vines are planted at 60 to 80 meters above sea level, and the soils see a mix of deep clay, red sand and rocks. Both alcoholic and malolactic fermentations occur in steel vats, and the wine is aged partly in barrique and a part cement for 10 months. This vintage is very primary and simple with bright high tones of raspberry and wild blueberry followed by some almond and toasted nut. The mouthfeel is compact and direct. Le Volte was released in March 2020.~RP
