Country;Region;Subregion;Producer;Producer_Full;Producer_Notes;Title;Classification;Color;Grapes;Wine_Notes;Year;Alcohol;Maturity;Description;Pic_Name;Size;Price;Currency;Tax;Store;Store_Co;Store_Ci;Date
Chile;Chile;Maipo Valley;Escudo Rojo;Escudo Rojo;;Reserva Cabernet Sauvignon;;red;Cabernet Sauvignon;;2018;;;;Escudo Rojo Reserva Cabernet Sauvignon 2018.jpg;750;13.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
Chile;Chile;Colchagua Valley;Montes;Montes Premium Wines;"The history of Montes seems like a dream, and that's truly how it began, gradually becoming reality. It was in 1987 that our two original founders, Aurelio Montes and Douglas Murray, both highly experienced wine professionals, wanted to realize their dream of producing Chilean wines a quantum-leap higher in quality than the standards of the time. In 1988, they joined up with the other two founders, Alfredo Vidaurre and Pedro Grand, who brought their own complementary skills and expertise to the venture. And thus Montes was born, at first under the name Discover Wine. It was a dream come true for four great visionaries who succeeded in taking Montes wines from nowhere to more than 100 countries worldwide; by making 'first growth' wines respected and admired by the world's critics and trade, and by drawing attention to what Chile was capable of producing. After we created the first Montes Alpha Cabernet Sauvignon - through hard work and passion - it didn't take long to achieve recognition. It was a mould-breaking wine that immediately raised the bar for other Chilean producers. Concentrated, complex and stylish, its success was";Kaiken Reserva Malbec;;red;Malbec;;2019;;;;Montes Kaiken Reserva Malbec 2019.jpg;750;9.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
Chile;Chile;Maipo Valley;Santa Ema;Santa Ema Wines;Over the years, Santa Ema has been recognized by the most important national and international organizations and has earned numerous medals in competitions such as the Concours Mundial de Bruxelles and distinctions in the prestigious international trade magazines. It was recently added to Wine Spectator's list of Top 20 World's Finest Value Brands, Wine Advocate rated four Santa Ema wines above 90 points, and Wine & Spirits named it Value Winery of the Year. But for Santa Ema, the most important distinction of all is the preference of its consumers around the world to appreciate the work of three generations dedicated to the production of consistently high quality wines.;Reserve Merlot;;red;Merlot;;2018;;;;Santa Ema Reserve Merlot 2018.jpg;750;11.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
Chile;Chile;Maipo Valley;Santa Ema;Santa Ema Wines;Over the years, Santa Ema has been recognized by the most important national and international organizations and has earned numerous medals in competitions such as the Concours Mundial de Bruxelles and distinctions in the prestigious international trade magazines. It was recently added to Wine Spectator's list of Top 20 World's Finest Value Brands, Wine Advocate rated four Santa Ema wines above 90 points, and Wine & Spirits named it Value Winery of the Year. But for Santa Ema, the most important distinction of all is the preference of its consumers around the world to appreciate the work of three generations dedicated to the production of consistently high quality wines.;Reserve Cabernet Sauvignon;;red;Cabernet Sauvignon;;2018;;;;Santa Ema Reserve Cabernet Sauvignon 2018.jpg;750;11.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
Chile;Chile;Rapel Valley;Casillero del Diablo;Casillero del Diablo;"In the closing years of the 19th century Don Melchor de Concha y Toro discovered that his most treasured wines had been pilfered from the ""casillero"" (cellar) beneath his family home. To discourage further theft, the enterprising Don spread a rumor that his deepest, darkest cellars were haunted by the devil. Today, the original Concha y Toro family estate, complete with its Devil's Cellar, is Chile's leading tourist destination!The wines may have been stored in hell, but they are made in heaven. With its steady sunshine, cooling winds and pestilence-free vineyards, Chile is a winemaker's dream. Add to this a winemaking tradition based on French grape varieties and winemaking techniques, and you have a winning combination. High quality wines can be made inexpensively, which Concha y Toro successfully demonstrated with the release of its Casillero el Diablo wines in 1963.Making wines in volume and creating wines with personality might seem contradictory. But winemaker Marcelo Papa, who has overseen Casillero del Diablo since 1998, has managed this feat. In 2005, Marcelo Papa was named ""Winemaker of the Year"" by the Chilean Wine Guide for his ability to ""create exceptional wines that are widely available in the marketplace, yet achieve extraordinary levels of quality in spite of high production levels."" Thanks to Marcelo Papa's extraordinary winemaking talent, and the support and leadership of the Concha y Toro company, today Casillero del Diablo is a worldwide standard-bearer for premium quality Chilean wines – and the Legend of the Devil's Cellar lives on!";Cabernet Sauvignon;;red;Cabernet Sauvignon;;2019;;;;Casillero del Diablo Cabernet Sauvignon 2019.jpg;750;7.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
France;France;France;The Little Sheep;The Little Sheep;;France Rose;;pink;Rose;;2020;;;;The Little Sheep of France Rose 2020.jpg;750;7.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
France;Bordeaux;Blaye;Petits Arnauds;Chateau Les Petits Arnauds;;Petits Arnauds Blaye Cotes de Bordeaux;;red;Bordeaux Red;;2016;;;;Chateau Les Petits Arnauds Blaye Cotes de Bordeaux 2016.jpg;750;12.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
France;Bordeaux;Cotes de Francs;Marsau;Chateau Marsau;;Marsau Cotes de Francs;;red;Bordeaux Red;;2015;;;;Chateau Marsau Cotes de Francs 2015.jpg;750;20.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
France;Bordeaux;Cotes de Bordeaux;Pitray;Chateau de Pitray;;Pitray Cotes de Bordeaux;;red;Bordeaux Red;;2016;;;;Chateau de Pitray Cotes de Bordeaux 2016.jpg;750;13.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
France;Burgundy;Beaujolais;Laurent Perrachone;Laurent Perrachone et Fils;;Beaujolais Blanc;;red;;;2019;;;;Laurent Perrachone et Fils Beaujolais Blanc 2019.jpg;750;13.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
France;Cahors;Cahors;Prieure De Cenac;Prieure De Cenac;The terroir of the Cause is by far the most mystical of all the vineyards in Cahors. For thousands of years, men have found a point of equilibrium between heaven and earth. Not far away in a clearing surrounded by forest stands in silent a prehistoric megalith. The steeple of the village is on the horizon and in the middle, stands the Prieuré which is testament to the sacred spirit of this clearing in the vineyard.Built on the limestone headland which dates from the Jurassic period, the Prieuré de Cénac dominates both the valley and hills of the Cause. Here the land rises to nearly 300 metres above sea level. Although this is not high for Hervé as a winemaker from the Andes, he was immediately impressed by the quality and diversity of the soils.The calcareous base, the main characteristic of the Cause, Argentina, is covered with clay that is very rich in iron and manganese. The walls and facades of the Prieuré itself reveal the richness of this incredible and fascinating terroir.;Malbec;;red;Malbec;;2017;;;;Prieure de Cenac Malbec 2017.jpg;750;16.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
France;Burgundy;Chablis;Louis Michel;Louis Michel & Fils;;Chablis;;white;Chardonnay;;2018;;;;Louis Michel & Fils Chablis 2018.jpg;750;23.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
France;Burgundy;Chablis Premier Cru;Boudin;Domaine Boudin;The Boudin domaine is located in La Chapelle-Vaupelteigne, one of the hamlets outside of Chablis proper, just across the Serein river from the 1er Cru vineyard of Fourchaume. The Boudin family farms just over 11 hectares of vineyards in Chablis, including 5 in the premier cru Fourchaume. Run by Francis Boudin, Domaine Boudin is an outpost of artisanal, hand-crafted wine in a region that is dominated by negociants. Francis strives for purity and terroir-expressiveness by eschewing oak. Another distinguishing factor of Boudin's is the fact that all plantings have come from massal selections of their own Chablis vines rather than re-planting with Chardonnay clones from other areas of Burgundy, a more common practice in the region. Add to that the fact Domaine Boudin has an enviable array of holdings (including the rarest of rare 1er Cru L'Homme Mort, a south facing parcel within Fourchaume).;Boudin Fourchaume Chablis 1er Cru;1er Cru;white;Chardonnay;;2019;;;;Boudin Fourchaume Chablis 1er Cru 2019.jpg;750;25.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
France;Champagne;Champagne;Gaston Chiquet;Gaston Chiquet;"Nicolas Chiquet farms 23 heactares in the Valle de la Marne in the villages of Ay, Dizy, Hautvillers and Mareuil-sur-Ay. All of the fruit (including that which is used in the non-vintage cuvee) comes from premier and grand cru grapes. Nicolas does not employ any oak aging at Gaston Chiquet; he believes that concentration, fruit maturity and malolactic fermentation impart enough body and texture to make aging in barrel unnecessary.The vineyards are planted to equal (forty percent each) parts chardonnay, pinot meunier and twenty percent are planted to pinot noir. Gaston-Chiquet also produces a vintage dated chardonnay from 5 parcels on the western side of the grand cru village of Ay. Usually recognized as a grand cru village for pinot noir, these vines of chardonnay were planted in Ay in the 1930s.""In 1919, two brothers, Fernand and Gaston Chiquet--winemakers born and bred--came together to create their house Chiquet Brothers. They were 'pioneers' in Champagne, the very first winemakers to take the initiative, bold at the time, to keep their grapes, turn them into Champagne and sell their own wine. Nicolas Chiquet planted his first vines in 1746, and since then eight generations have tilled Dizy's soil. Gaston Chiquet registered the company in 1935 and expanded the property with land in Aÿ, Cumières and Hautvillers. Gaston Chiquet is best known for making the only blanc de blancs from the Pinot village of Aÿ. Aÿ was the big name in the area long before wines became sparkling, and many were the kings and popes who counted Vin d'Aÿ as their favorite wine. The vineyards slope down steeply to the village by the Marne River, and the best locations are just over the town, sheltered from the wind and with maximum exposure to the sun.""-Richard Juhlin, 4000 Champagnes""I think if you asked me to sum up Chiquet's wines in one pithy phrase, I'd have to say either ""delicious and articulate"" or ""articulate and delicious"" depending on which you preferred. . . . I myself tend to peg Nicolas Chiquet's wines as ""innately lovable"" and so it always surprises me to rediscover just how focused and precise they are, as if the prose of E. B. White were rendered in the form of Champagne. They taste effortless, tactful, yet attractive.""-Terry Theise";Blanc de Blancs Brut;Grand Cru;sparkling;;;2019;;;;Gaston Chiquet Grand Cru Blanc de Blancs Brut 2019.jpg;750;62.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
France;Champagne;Champagne;Laurent Perrier;Laurent Perrier;The House of Laurent-Perrier was founded in 1812 by André Michel Pierlot and took the name Vve Laurent-Perrier when Mathilde Emilie Perrier, the widow of Eugène Laurent, combined the two family names after she decided to expand the business.Eugénie Hortense Laurent, her daughter, inherited the House in 1925 and sold it to Marie-Louise Lanson de Nonancourt in 1939.During WWII, Marie-Louise Lanson de Nonancourt ran the business while two of her sons, Maurice and Bernard, joined the French Resistance.In 1945, Bernard de Nonancourt began an exacting apprenticeship, learning every aspect of winemaking from vine to cellar, before his appointment in October 1948 as Chairman and Chief Executive. At that point, the House was employing around 20 people and shipping 80,000 bottles a year.Fired by a passion for champagne, a respect for traditional values and, most importantly, for people, Bernard de Nonancourt inspired Laurent-Perrier with his independent spirit and creative audacity.He established privileged working relationships with the grape growers and cleverly combined innovation and tradition. He created the signature Laurent-Perrier style of freshness, lightness and elegance and developed a unique range of champagnes which are today exported to more than 160 countries worldwide.;Brut;;sparkling;;;2008;;;;Laurent Perrier Brut 2008.jpg;750;58.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
France;Champagne;Champagne;Taittinger;Taittinger;In 1734, Jacques Fourneaux established a wine-business in Champagne and worked closely with the Benedictine Abbeys which, at that time, owned the finest vineyards in the region. After the First World War, the wine-house was moved to a large mansion on the Rue de Tambour in which Theobald I of Navarre (1201–1253) had lived. A long-standing legend held that it was he who brought the Chardonnay grape from Cyprus on returning from a crusade in the Middle Ages. This has been disproved by genetic analysis done at the University of California at Davis.[2]The Taittingers were a family of wine merchants who, in 1870, moved to the Paris region from the Lorraine in order to retain their French citizenship after the Franco-Prussian War and the Treaty of Frankfurt (1871).In 1932, Pierre Taittinger bought the Château de la Marquetterie from the wine house of Forest-Fourneaux. It had been used as a command post during World War I and he had been laid up there after suffering a heart-attack during combat. The vineyards of the château had been planted with Chardonnay and Pinot noir since the 18th Century. This property had been developed by Brother Jean Oudart, a Benedictine monk, one of the founding fathers of champagne wine, and later it had belonged to the writer Jacques Cazotte.From 1945 to 1960 the business was run by Pierre's third son François. Under his direction, the Taittinger cellars were established in the Abbey of Saint-Nicaise, built in the thirteenth century in Gallo-Roman chalk pits dating from the fourth century. After François' death in an accident, his brother Claude took over and directed the business from 1960 to 2005. It was during this time that Taittinger became a champagne house of world renown.Champagne Taittinger was sold in July 2005 by the Taittinger family, along with its subsidiary, Société du Louvre, to the U.S. private investment firm Starwood Capital Group. Those in the profession (Champagne houses, wine-producers, cooperatives, distributors and customers) proposed that the objectives of short-term profitability, or even medium term, at any price, advocated by the then current managers of the business, were not compatible with the production of Champagne wine of quality, which takes time, trust and a large delegation of authority to the masters of the cellar. In addition, the arrival of investors completely foreign to the culture of Champagne could result in a major breakdown of the equilibrium of the industry.Finally, on 31 May 2006, the Northeast Regional Bank of the Crédit Agricole, in collaboration with Pierre-Emmanuel Taittinger, bought the business for 660 million euros. The area covers 288.84 hectares of vineyards and has 12 to 13 million bottles in stock. The Château de la Marquetterie and its cellars were part of the overall purchase. The Starwood group retained some hotels, including luxury hotels Crillon, Lutetia and Martinez, and the hotel chains Campanile and Kyriad.Claude Taittinger retired in 2006 and his nephew Pierre-Emmanuel Taittinger replaced him as head of the business.;La Francaise Brut NV;;sparkling;;;0000;;;;Taittinger La Francaise Brut NV.jpg;750;45.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
France;Provence;Costieres de Nimes;Campuget;Chateau de Campuget;"Our vineyard is located 15 kilometers south of Nimes in the town of Manduel in the heart of the Protected Designation of Origin Costières de Nîmes. Its main characteristic is its soil made of ""gress"", pebbles rolled by the various floods of the Rhone in the Quaternary era. It allows the vine to set up in the best possible conditions. It is thanks to this filter soil that the roots manage to draw very deeply the water essential for their growth.";Chateau Le Campuget Tradition Rose;;pink;;;2020;;;;Chateau Le Campuget Tradition Rose 2020.jpg;750;8.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
France;Provence;Costieres de Nimes;Saveurs Du Temps;Saveurs Du Temps;;Saveurs du Temps Rose;;pink;;;0000;;;;Saveurs du Temps Rose.jpg;1500;18.99;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
France;Provence;Cotes de Provence;Routas;Chateau Routas;"The location of Routas is spectacular; in the heart of Provence, equidistant from the French Riviera on the Mediterranean coast and the foothills of the Alps. It is surrounded by tiny medieval villages that cling to steep cliffs and overlooks miles of spectacular hillsides, woods and rivers.Currently 20,000 cases are produced of Southern French style, estate-grown and bottled wines that have been met with positive comment since their first vintage in 1992.";Rose Rouviere;;pink;;;2020;;;;Chateau Routas Rose Rouviere 2020.jpg;750;12.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
France;Provence;Cotes de Provence;Jolie Folle;Jolie Folle;"ORIGIN STORYAfter a successful career as an entrepreneur, Jimmy Gallivan decided it was time to pursue his passion of wine. In 2006, he took his first trip to explore the wine country of Argentina. He fell in love with Mendoza, and Crazy Beautiful Wines was born.Crazy Beautiful Wines was founded on 800 cases of Malbec and Torrontés from Argentina.Since then, our little experiment has fostered relationships with some amazing growers and winemakers over the past decade.Our family's enjoyment of sharing a great bottle of wine with our friends and a love of exploring the vineyards of the world is at our core.WELCOME TO CRAZY BEAUTIFUL WINESWe are a community born of the belief that the good things in life are meant to be shared and great wine should be accessible to all who seek it.Equal parts collector, consumer, and explorer; we are proud of our wines, our products, and our people.  We are committed to sharing these lovely wines with our community, one Liter at a time.We are going to try new things and break some rules. Whether we're reinventing the perfect size bottle, or making an incredible Rosé.  We are doing our best to create a culture where trying new things is not only possible, but exciting, and engaging.";Provence Rose 2020 1.0L;;pink;;;0000;;;;Jolie Folle Provence Rose 2020 1.0L.jpg;1000;12.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
France;Provence;Cotes de Provence;Marius Peyol;Marius Peyol;;Cotes de Provence Rose;;pink;;;2020;;;;Marius Peyol Cotes de Provence Rose 2020.jpg;750;14.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
France;Languedoc-Roussilion;Roussillon Villages Tautavel;Gerard Bertrand;Gerard Bertrand;An Art de Vivre, best represented by the wines of the South of France thanks to the numerous terroirs there and their diversity - sparkling wines, reds, whites, rosés, varietal wines or appellation wines. A rich array of promises to fulfill all your tasting expectations. Twenty years of know-how ensures that wines bearing Gérard Bertrand's signature have a unique style whose creation is driven each day by four fundamental values: excellence, authenticity, conviviality and innovation. Gérard Bertrand has made a strong, voluntary commitment to sustainable development, responding to the growing demand from consumers as well as the global need to reduce the adverse effects of greenhouse gases on the climate.;Tautavel;;red;;;2016;;;;Gerard Bertrand Tautavel 2016.jpg;750;14.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
France;Burgundy;Chablis;Pinson;Domaine Pinson;"Family roots in Chablis that date back to 1640All vineyards located in the HEART of ChablisBetween Vaillons and MontmainsImpeccably ploughed Kimmeridgian soilVineyard by vineyard approach to vinification100% hand harvestedOnly indigenous yeasts usedThere are only so many certainties in life; the Earth is round, water is 2 parts hydrogen to 1 part oxygen, Joanie loves Chachi, John Lennon was a musical genius, and no Chardonnay in the world tastes like Chablis. This small hamlet, just a few hours south of Paris, relays the link between place and taste perhaps more than anywhere else in the world. The reason dates back to a unique soil formed by the recession of a prehistoric basin that once covered parts of northern France including the eastern Loire, southern Champagne, and most notably, Chablis. Known famously as Kimmeridgian marl, this limestone based soil is layered with fossils of ancient aquatic life. To say the wines from this region taste of salty seashells would seem obvious and on the nose, but it would be impossible to taste the best examples from Chablis without proclaiming that very fact. And few in this village are translating that distinct salty marine life into their wines as clearly as the Pinson family.In a region so steeped in history (and prehistory), Domaine Pinson stands out, having farmed in Chablis since 1640. Perhaps the family's most important figure, Louis Pinson, led the domaine in 1940 to become one of the first properties in Chablis to sell directly to the public, establishing them as early adopters of estate bottling. The domaine today is run by the dynamic Charlène Pinson and her father Laurent. They own 14 hectares of the crème de la crème of Chablis terroir, with prime holdings in six premier crus and the grandest cru of them all, Les Clos.It is the duty of a conscientious grower to maximize the potential of these historic parcels of land by farming in a respectful and sustainable manner. Charlène and Laurent view themselves as not only farmers, but protectors of this sacred land. They choose to not use any herbicides or pesticides in the vineyards, while also ploughing and working the soils – pushing their vines to dig deeper into the limestone bedrock that endows the wines with the unmistakable Chablisienne cut and precision.Charlène and Laurent's philosophy in the cellar is defined by an informed flexibility. They believe that every parcel requires a unique vinification. To express their terroir, some vineyards are barrel fermented, while others are fermented in tank. Aging also sees a variety of vessels, including older barrels and stainless steel –Charlène follows no dogma, only using experience to determine the best approach for each terroir. It is an intuitive process, one which results in a stunning display of intense purity across the Domaine Pinson range, seamlessly marrying the historical grandeur found in Kimmeridgian marl and the noble Chardonnay of Burgundy.";Les Clos Grand Cru Chablis;;white;Chardonnay;;2019;;;;Domaine Pinson Les Clos Grand Cru Chablis 2019.jpg;750;69.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
