Producer;Title;Year;Picname;Critic;Critic_S;Score;Rating
Chateau de Pitray;Cotes de Bordeaux;2016;Chateau de Pitray Cotes de Bordeaux 2016.jpg;Wine Enthusiast;WE;91;Wine Enthusiast 91 * A concentrated wine from the Pitray family, who fought in the American Revolution, this has bold tannins and the potential for rich fruit. A powerful wine, it shows plenty of spice as well as ripe black-currant flavors and acidity.
TENUTA DI CAPEZZANA;Capezzana Villa di Capezzana Carmignano DOCG;2015;Capezzana Villa di Capezzana Carmignano DOCG 2015.jpg;Decanter;D;95;"Decanter 95    * ""Mainly Sangiovese. Has an enticing nose with ripe red and black fruits and a floral perfume. Firm tannins but a lovely texture and understated oak. Plenty of future."""
TENUTA DI CAPEZZANA;Capezzana Villa di Capezzana Carmignano DOCG;2015;Capezzana Villa di Capezzana Carmignano DOCG 2015.jpg;Wine Advocate;WA;91;"Wine Advocate 91   * ""Made with organic fruit, the 2015 Carmignano Villa di Capezzana is a blend of 80 Sangiovese and 20 Cabernet Sauvignon (aged in tonneaux for 12 months). This is the flagship wine made by this estate, and it has been in production since 1925. This warm vintage opens to abundant fruit with black cherry and blackberry at the front. Softer tones of spice, leather and tobacco fill in the rear. You get great value in this easy-drinking mid-weight Tuscan red. Some 70,000 bottles were produced."""
TENUTA DI CAPEZZANA;Capezzana Villa di Capezzana Carmignano DOCG;2015;Capezzana Villa di Capezzana Carmignano DOCG 2015.jpg;James Suckling;JS;93;"James Suckling 93  * ""Fascinating aromas of blueberries, orange peel and watermelon following through to a full body. Round and juicy tannins and a flavorful finish. Lots of toasted oak showing now, but it should come out beautifully with bottle age. Made from organically grown grapes. Try in 2020."""
Mauro Molino;Molino Gallinotto Barolo;2017;Molino Gallinotto Barolo 2017.jpg;James Suckling;JS;92;"James Suckling 92 * "" Sweet strawberries with ash and tar undertones in the nose. Its medium-to full-bodied with dusty, rich tannins and a savory finish. Drink in 2023 and onwards."""
Booker Vineyard;Harvey & Harriet Red;2018;Booker Vineyard Harvey & Harriet Red 2018.jpg;Jeb Dunnuck;JD;95;"Jeb Dunnuck 95 * Tasted out of barrel, the 2018 Harvey and Harriet sports a deep purple color as well as a powerful bouquet of ripe black fruits...Full-bodied, ripe...it has hints of background oak, a rounded, opulent texture, no hard edges, and a great finish."""" (Barrel Score 93-95)."
Oddero;Barolo;2017;Oddero Barolo 2017.jpg;Vinous;VIN;91;"Vinous Media 91 * ""The 2017 Barolo is a very pretty, elegant wine and one of the few straight Barolos in this vintage that is truly finessed. Translucent and so expressive, the Oddero Barolo is wonderfully expressive right out of the gate. Crushed flowers, sweet red berry, mint and cinnamon all grace this super-expressive Barolo.""~Antonio Galloni"
Delta;Cabernet Sauvignon;2017;Delta Cabernet Sauvignon 2017.jpg;Wine Enthusiast;WE;90;"Wine Enthusiast 90 * ""This wine offers major bang for the buck, a soft nuanced layering of smooth juicy cassis and plum wrapped in leather and oak. Expansive and structured, it has freshness without fuss."""
Tenuta Fanti;Fanti Rosso Poggio Torto;2018;Fanti Rosso Poggio Torto 2018.jpg;James Suckling;JS;92;"James Suckling 92 * ""Plenty of blackberries and burnt orange peel with some thyme and sage. Medium to full body, light tannins and a fresh finish with good acidity. Drink or hold."" ~JS"
Azienda Agricola Fontaleoni;Fontaleoni Colli Senesi Chianti;2019;Fontaleoni Colli Senesi Chianti 2019.jpg;Vinous;VIN;88;"Vinous Media 88 * ""The 2019 Chianti Colli Senesi is a fresh, fruity red to drink now and over the next few years. Sweet red cherry fruit and floral notes are nicely lifted in this mid-weight, perfumed Chianti Colli Senesi. Best of all, the 2019 is a terrific value.-- Antonio Galloni"""
Turley Wine s;Turley Duarte Zinfandel;2019;Turley Duarte Zinfandel 2019.jpg;Wine Advocate;WA;94;"Wine Advocate 94 * ""The 2019 Zinfandel Duarte has a deep ruby-purple color and gregarious perfume of blueberry and blackberry preserves with hints of peaches, aniseed, tar and dried flowers. The palate is medium-bodied, soft, perfumed and approachable with lots of juicy lift on the finish. 1,560 cases produced."""
Turley Wine s;Turley Duarte Zinfandel;2019;Turley Duarte Zinfandel 2019.jpg;Vinous;VIN;93;"Vinous Media 93 * ""The 2019 Zinfandel Duarte is a blend from Evangelho, Salvador, Del Barba and Mori, all in Contra Costa County. Rich, ripe and flavorful, the 2019 takes varietal Zinfandel notes and turns up the volume. Inky and rich, with terrific fruit density, the 2019 is the sort of wine that is opened and disappears at the table. This is such a gorgeous vintage for the Duarte. -- Antonio Galloni"""
Turley Wine s;Turley Dusi Zinfandel;2019;Turley Dusi Zinfandel 2019.jpg;Wine Advocate;WA;93;"Wine Advocate 93 * ""The 2019 Zinfandel Dusi Vineyard, medium ruby-purple in color, offers bright red cherry perfume with notes of tar, potpourri and aniseed. Medium-bodied, the palate is soft and grainy with loads of juicy acidity, bright fruit character and a long, uplifted finish. 1,700 cases produced."""
Turley Wine s;Turley Dusi Zinfandel;2019;Turley Dusi Zinfandel 2019.jpg;Vinous;VIN;94;"Vinous Media 94 * ""The 2019 Zinfandel Dusi Vineyard is such a classic expression of Zinfandel from Paso Robles. Rich and layered in the glass, the Dusi is exuberant but also remarkably on its feet for a wine with so much natural intensity. Sweet pipe tobacco, cedar, mint and dried flowers add striking layers of aromatic nuance to a core of Zinfandel fruit. -- Antonio Galloni"""
Domaine Roche;Cairanne;0000;Domaine Roche Cairanne.jpg;Jeb Dunnuck;JD;90-92;"Jeb Dunnuck 90-92 * ""The 2018 Cairanne is another winner from the talented Romain Roche that should be snatched up by savvy readers. Beautiful cassis and black raspberry fruits, notes of crushed flowers and violets, medium to full body, and a ripe, sexy texture all make for a quintessential Cairanne that’s going to provide tons of pleasure."""
Palacio Del Burgo;Palacio del Burgo Rioja Tinto;2018;Palacio del Burgo Rioja Tinto 2018.jpg;James Suckling;JS;90;"James Suckling 90 * ""A fruity and plummy wine with just a hint of strawberry jam. Full body. Velvety tannins and a flavorful finish. Dense and layered. Some may find it a little heavy, but it’s lively. Drink now."""
Catena Zapata;Bodega  San Carlos Cab Franc;2018;Bodega Catena Zapata San Carlos Cab Franc 2018.jpg;Wine Advocate;WA;92;Wine Advocate 92 * “Yields for Cabernet Franc in 2018 were low, so there is less of the 2018 Appellation San Carlos Cabernet Franc, but the style goes back to the style of the 2016 more than the 2017, with very good freshness and very good integration of the oak, which is quite transparent and lets the character of the cool place come through in a more precise way. It's easily identifiable as Cabernet Franc, it's integrated and it makes you salivate.”
The Calling;Russian River Pinot Noir;2018;The Calling Russian River Pinot Noir 2018.jpg;Wine Enthusiast;WE;91;Wine Enthusiast 91 * Candied Bing cherry and fresh hibiscus aromas make this an immediately likable bottling by Jim Nantz and his team, while the star anise, gingerbread and sweet herb aromas add complexity. The palate is lively and fresh with more red fruit and flowers as well as cinnamon and wild chaparral spices, leading into a eucalyptus-oil-kissed finish.
Santa Ema;Reserve Cabernet Sauvignon;2018;Santa Ema Reserve Cabernet Sauvignon 2018.jpg;Wine Enthusiast;WE;89;Wine Enthusiast 89 * “Black-cherry and cassis aromas are fruity and direct, while this feels perky, juicy and fresh, with moderate depth. Black-plum and berry-fruit flavors show a touch of oaky spice, while this Cabernet remains alert and bright on the finish.”~MICHAEL SCHACHNER
Poggio Scalette;Il Carbonaione;2017;Poggio Scalette Il Carbonaione 2017.jpg;Wine Spectator;WS;95;"Wine Spectator 95 * ""An alluring array of blackberry, black cherry and violet aromas introduces this supple, elegant red. Spice, mineral and tobacco elements emerge, along with firm, refined tannins, but this is all about the pure fruit. Shows terrific harmony and length. Sangiovese. Best from 2022 through 2040."""
Poggio Scalette;Il Carbonaione;2017;Poggio Scalette Il Carbonaione 2017.jpg;Vinous;VIN;93;"Vinous Media 93 * ""The 2017 Il Carbonaione is a very beautiful and expressive wine. It is also quite ripe and forward, its mid-weight structure notwithstanding. I would use those qualities to their advantage, as the 2017 is likely to mature faster than other recent vintages, and that's when Il Carbonaione really blossoms. Sweet pipe tobacco, leather, mint, game and licorice are some of the notes that are laced into the finish."""
Valentin Bianchi;Bodegas  Famiglia Malbec;2018;Bodegas Valentin Bianchi Famiglia Malbec 2018.jpg;James Suckling;JS;92;James Suckling 92 * “An attractive, balanced red with blueberry and light hazelnut character, as well as chocolate. Medium bodied, fresh and vivid.” * 05/02/2020
Domaine de Ferrand;Cuvee Antique Cote du Rhone;2018;Domaine de Ferrand Cuvee Antique Cote du Rhone 2018.jpg;Wine Advocate;WA;90;"Wine Advocate 90 * ""The black cherry-scented 2018 Cotes du Rhone Cuvee Antique Vieilles Vignes is almost all Grenache, aged in concrete. Medium to full-bodied, expansive and silky, it's a serious budget alternative to wines from the various crus of the Southern Rhne. With ample concentration and a gentle dusting of tannins on the finish, it should even drink well for 6-7 years from the vintage."""
Lopez De Heredia;Lopez de Heredia Cubillo Crianza;2012;Lopez de Heredia Cubillo Crianza 2012.jpg;James Suckling;JS;95;"James Suckling 95 * ""Wonderful aromas of mushrooms, bark, cigar tobacco and plums with just a hint of citrus. Full-bodied with incredible softness and complexity. Subtle chocolate, fruit and walnut in the aftertaste. Goes on for minutes. Fantastic wine. Classic, textbook Rioja. A joy. Incredible value!"" ~ JS"
Lopez De Heredia;Lopez de Heredia Cubillo Crianza;2012;Lopez de Heredia Cubillo Crianza 2012.jpg;Wine Advocate;WA;93;"Wine Advocate 93 * ""I was quite impressed by the 2012 Viña Cubillo Tinto Crianza, a classical Rioja that is nicely crafted, with less aging in barrel than the rest of reds and therefore with more fruit character and less López de Heredia signature. This was born as a red for tapas, a blend of 70% Tempranillo, 20% Garnacho and 5% each Graciano and Mazuelo with 13.5% alcohol. It matured in well-seasoned American oak barrels for three years. It has ripe fruit (black rather than red) without excess and a pinch of spices and a twist of oak. 94,500 bottles produced. There are seven lots of this. I tasted a bottled that was filled in May 2018."" ~ LG"
Prelius;Cabernet Sauvignon;2019;Prelius Cabernet Sauvignon 2019.jpg;James Suckling;JS;93;James Suckling 93 * A very pretty red with currants, blackberries and hints of lavender. Medium to full body, polished tannins and a creamy finish. From organically grown grapes. Drink after 2022. James Suckling, July 2020
Tenuta Le Calcinaie;Le Calcinaie Vernaccia San Gimignano;2019;Le Calcinaie Vernaccia San Gimignano 2019.jpg;James Suckling;JS;90;"James Suckling 90 * ""Lots of lemon, lime and some fennel aromas and flavors. Full-bodied, fruity and creamy. Very nicely done.”"
Tenuta Le Calcinaie;Le Calcinaie Vernaccia San Gimignano;2019;Le Calcinaie Vernaccia San Gimignano 2019.jpg;Wine Spectator;WS;88;"Wine Spectator 88 * ""A mix of peach, apple, almond and earth flavors mark this rich white, which has good cut and lingers with a fresh finish. Drink now. 3,300 cases made, 1,000 cases imported.—Bruce Sanderson"""
Shea Wine s;Shea Wine Cellars Chardonnay;2017;Shea Wine Cellars Chardonnay 2017.jpg;Wine Enthusiast;WE;93;"Wine Enthusiast 93 * ""As in previous vintages, this young wine comes ready to drink with exceptional texture and mouthfeel. Apple butter, toast, roasted nuts, wet stone and a hint of popcorn are threaded together, in a lovely lively bottle with excellent length. Drink now and over the next half decade."""
Cantina Andriano;Finado Pinot Bianco;2019;Cantina Andriano Finado Pinot Bianco 2019.jpg;James Suckling;JS;92;James Suckling 92 * Pure aromas of ripe red apples with some cream undertones. Medium to full body and round, creamy texture. Plenty of fruit and a delicious finish. All there and delicious. JS
Cantina Andriano;Finado Pinot Bianco;2019;Cantina Andriano Finado Pinot Bianco 2019.jpg;Wine Advocate;WA;91;Wine Advocate 91 * The 2019 Alto Adige Pinot Bianco Finado opens to a luminous, light straw color that reflects the ambient light. This vintage shows zesty and very balanced results with pear, Golden Delicious apple, crushed limestone and a touch of spicy saffron. These aromas are characteristic of dolomitic calcareous soils. Winemaking is simple in stainless steel, with a brief sur lie aging of six months. The wine sports a crisp, lean-bodied mouthfeel, but there is enough acidity and mineral-driven linearity to drive the wine long over the palate. ML
Regis Minet;Vieilles Vignes Pouilly Fume;2018;Regis Minet Vieilles Vignes Pouilly Fume 2018.jpg;Wine Enthusiast;WE;91;Wine Enthusiast 91 Editor’s Choice * “The old vines and fermentation with natural yeasts have give this wine intensity and great flavor. Tangy, ripe green and citrus fruits are lined with acidity and a touch of minerality.”
Cavit Collections;Cavit Zero Oak Chardonnay 187ml;0000;Cavit Zero Oak Chardonnay 187ml.jpg;Wine Enthusiast;WE;00;"Wine Enthusiast - Best Buy * ""Shows ripe tones of melon, peach and ripe tangerine. It feels easy and soft in the mouth and shows subtle fragrances of white mountain flower as well."""
Far Niente;Chardonnay;2018;Far Niente Chardonnay 2018.jpg;Wilfred Wong;WW;92;"Wilfred Wong 92 * ""The 2018 Far Niente Chardonnay shows class and balanced. TASTING NOTES: This wine exhibits excellent richness and stays elegant to the end. Pair its aromas and flavors of ripe, core fruits, peach skin, and oak with shellfish in a generous cream sauce."""
Far Niente;Chardonnay;2018;Far Niente Chardonnay 2018.jpg;Wine Spectator;WS;90;Wine Spectator 90 * Rich and juicy, with oaky accents to the dried apple and glazed apricot flavors. The well-structured finish is filled with savory and buttery notes. Drink now through 2023.
Alzinger;Reid Loibenberg Riesling Smaragd;2019;Alzinger Reid Loibenberg Riesling Smaragd 2019.jpg;Wine Enthusiast;WE;98;"Wine Enthusiast 98 * ""A touch of savory yeast slowly emerges on the closed nose. The taut but concentrated palate then adds its yeasty, salty, crushed dandelion flavors to the picture. This is bright and fresh, wonderfully tight and concentrated, just waiting to unfold layer upon layer of salty umami pleasure. Slender, tight and full of promise, it ends on a flash of citrus. Drink 2025–2050.” – Anne Krebiehl, MW"""
Domaine Serene;Evenstad Reserve Chardonnay;2018;Domaine Serene Evenstad Reserve Chardonnay 2018.jpg;Wine Enthusiast;WE;94;Wine Enthusiast 94 * “This is a standout among the winery's very strong Chardonnay portfolio. It's densely packed with flavors of lemon, lime, grapefruit and pineapple, offering a posh mix of citrus set against zippy acidity. A hint of citrus peel puts a frame around the finish and sets this up for cellaring. Enjoy through 2028.”
Domaine Serene;Evenstad Reserve Chardonnay;2018;Domaine Serene Evenstad Reserve Chardonnay 2018.jpg;Wine Advocate;WA;93;Wine Advocate 93 * “The 2018 Chardonnay Evenstad Reserve has a nose of golden apples and citrus with wafts of floral perfume. The palate manages delicacy with loads of powerful flavor, with a fresh, bright acidic frame and a very long, mineral-laced finish.”
Louis Michel & Fils;Chablis;2018;Louis Michel & Fils Chablis 2018.jpg;Decanter;D;91;"Decanter 91 * “Charming white flowers and chalky, mineral notes; firm and weighty with a saline, citrus burst towards the harmonious finish.”-DM"
Louis Michel & Fils;Chablis;2018;Louis Michel & Fils Chablis 2018.jpg;Jeb Dunnuck;JD;90;Jeb Dunnuck 90 * “Slightly more expensive, the 2018 Chablis is similarly hued and reveals a pretty bouquet of mint-laced apple and citrus fruits as well as a touch of chalky minerality, oyster shell and charcoal, medium-bodied richness, nicely integrated acidity, and a clean finish.”-JD
Lewis s;Lewis Cellars Napa Chardonnay;2019;Lewis Cellars Napa Chardonnay 2019.jpg;Jeb Dunnuck;JD;94;Jeb Dunnuck 94 * All three of the Chardonnays are great, and the 2019 Chardonnay Napa Valley is well worth seeking out. Its medium gold hue is followed by a great, classic nose of ripe white peach, caramelized citrus, white flowers, and a touch of rocky, mineral-like nuances. It's actually made in a fresher, more elegant style than the richer Sonoma County release yet brings plenty of richness and texture.
Rombauer;Sauvignon Blanc;2020;Rombauer Sauvignon Blanc 2020.jpg;Wilfred Wong;WW;91;Wilfred Wong 91 * The 2020 Rombauer Vineyards Sauvignon Blanc is bright, fresh, and lively. 
Nautilus;Sauvignon Blanc;2020;Nautilus Sauvignon Blanc 2020.jpg;James Suckling;JS;92;James Suckling 92 * “Very attractive peach and passion-fruit notes with fresh lime, too. The palate has a smooth, fleshy feel with succulent passion-fruit and lime flavors. Good depth and concentration, too.”
Laurent Perrier;Brut;2008;Laurent Perrier Brut 2008.jpg;Wine Enthusiast;WE;96;Wine Enthusiast 96  * While still young this Champagne has all the makings of greatness. Produced from grand cru vineyards it already balances ripe white fruits with a firm structure that will age well. Its relatively dry and has plenty of acidity which will also aid in the longevity. Drink from 2022.
Taittinger;La Francaise Brut NV;0000;Taittinger La Francaise Brut NV.jpg;Wine Spectator;WS;90;"Wine Spectator 90 * ""Balanced, with a rich, toasty character, bright acidity and subtle notes of lemon curd, cream, quince paste and fleur de sel. Ends with a firm, minerally finish. Drink now through 2015."""
Gaston Chiquet;Grand Cru Blanc de Blancs Brut;2019;Gaston Chiquet Grand Cru Blanc de Blancs Brut 2019.jpg;Vinous;VIN;93;"Vinous Media 93 * ""The 2009 Brut Blanc de Blancs dA (magnum) is a deep, powerful Champagne. In magnum, the radiance of the year is somewhat tempered, resulting in a potent, statuesque Champagne built on real vertical power. I am surprised by how reticent the 2009 is, but then again in magnum format Champagne ages quite slowly. I would cellar the 2009 for at least a few years. Disgorged: January, 2019. -- Antonio Galloni"""
Gaston Chiquet;Grand Cru Blanc de Blancs Brut;2019;Gaston Chiquet Grand Cru Blanc de Blancs Brut 2019.jpg;Wine Advocate;WA;92;"Wine Advocate 92 * ""Aromas of pear, confit citrus and hazelnut introduce Chiquet's 2009 Brut Blanc de Blancs d'A, a medium to full-bodied, fleshy and generous wine that's round and pillowy, with an enveloping core of fruit, lively acids and a pinpoint mousse. This charming Blanc de Blancs, released in magnum, is already drinking well today."""
Chateau Routas;Rose Rouviere;2020;Chateau Routas Rose Rouviere 2020.jpg;James Suckling;JS;91;"James Suckling 91 * ""Pale peach color with aromas of fresh strwaberry, watermelon, and peach stone. Some sea salt too. it's medium bodied with bright acidity and a fresh finish."""
